Date,Median Rent Price,Data Type
2010-10-31,1750.0,Actual
2010-11-30,1780.0,Actual
2010-12-31,1725.0,Actual
2011-01-31,1700.0,Actual
2011-02-28,1700.0,Actual
2011-03-31,1720.0,Actual
2011-04-30,1700.0,Actual
2011-05-31,1700.0,Actual
2011-06-30,1750.0,Actual
2011-07-31,1750.0,Actual
2011-08-31,1795.0,Actual
2011-09-30,1825.0,Actual
2011-10-31,1800.0,Actual
2011-11-30,1800.0,Actual
2011-12-31,1800.0,Actual
2012-01-31,1800.0,Actual
2012-02-29,1790.0,Actual
2012-03-31,1750.0,Actual
2012-04-30,1800.0,Actual
2012-05-31,1850.0,Actual
2012-06-30,1850.0,Actual
2012-07-31,1900.0,Actual
2012-08-31,2000.0,Actual
2012-09-30,2000.0,Actual
2012-10-31,2000.0,Actual
2012-11-30,1950.0,Actual
2012-12-31,1900.0,Actual
2013-01-31,1850.0,Actual
2013-02-28,1850.0,Actual
2013-03-31,1800.0,Actual
2013-04-30,1850.0,Actual
2013-05-31,1848.0,Actual
2013-06-30,1850.0,Actual
2013-07-31,1900.0,Actual
2013-08-31,1900.0,Actual
2013-09-30,1900.0,Actual
2013-10-31,1900.0,Actual
2013-11-30,1850.0,Actual
2013-12-31,1850.0,Actual
2014-01-31,1850.0,Actual
2014-02-28,1800.0,Actual
2014-03-31,1800.0,Actual
2014-04-30,1800.0,Actual
2014-05-31,1850.0,Actual
2014-06-30,1825.0,Actual
2014-07-31,1850.0,Actual
2014-08-31,1950.0,Actual
2014-09-30,1900.0,Actual
2014-10-31,1850.0,Actual
2014-11-30,1850.0,Actual
2014-12-31,1800.0,Actual
2015-01-31,1775.0,Actual
2015-02-28,1800.0,Actual
2015-03-31,1800.0,Actual
2015-04-30,1800.0,Actual
2015-05-31,1800.0,Actual
2015-06-30,1850.0,Actual
2015-07-31,1850.0,Actual
2015-08-31,1900.0,Actual
2015-09-30,1900.0,Actual
2015-10-31,1895.0,Actual
2015-11-30,1900.0,Actual
2015-12-31,1890.0,Actual
2016-01-31,1900.0,Actual
2016-02-29,1875.0,Actual
2016-03-31,1890.0,Actual
2016-04-30,1900.0,Actual
2016-05-31,1925.0,Actual
2016-06-30,1950.0,Actual
2016-07-31,1950.0,Actual
2016-08-31,2000.0,Actual
2016-09-30,2000.0,Actual
2016-10-31,2000.0,Actual
2016-11-30,2098.0,Actual
2016-12-31,2000.0,Actual
2017-01-31,2000.0,Actual
2017-02-28,2000.0,Actual
2017-03-31,2000.0,Actual
2017-04-30,2050.0,Actual
2017-05-31,2100.0,Actual
2017-06-30,2195.0,Actual
2017-07-31,2250.0,Actual
2017-08-31,2323.0,Actual
2017-09-30,2300.0,Actual
2017-10-31,2300.0,Actual
2017-11-30,2300.0,Actual
2017-12-31,2250.0,Actual
2018-01-31,2250.0,Actual
2018-02-28,2293.0,Actual
2018-03-31,2300.0,Actual
2018-04-30,2350.0,Actual
2018-05-31,2350.0,Actual
2018-06-30,2350.0,Actual
2018-07-31,2400.0,Actual
2018-08-31,2500.0,Actual
2018-09-30,2500.0,Actual
2018-10-31,2450.0,Actual
2018-11-30,2450.0,Actual
2018-12-31,2400.0,Actual
2019-01-31,2400.0,Actual
2019-02-28,2368.0,Actual
2019-03-31,2397.0,Actual
2019-04-30,2400.0,Actual
2019-05-31,2400.0,Actual
2019-06-30,2450.0,Actual
2019-07-31,2500.0,Actual
2019-08-31,2500.0,Actual
2019-09-30,2500.0,Actual
2019-10-31,2450.0,Actual
2019-11-30,2450.0,Actual
2019-12-31,2400.0,Actual
2020-01-31,2400.0,Actual
2020-02-29,2400.0,Actual
2020-03-31,2350.0,Actual
2020-04-30,2300.0,Actual
2020-05-31,2275.0,Actual
2020-06-30,2250.0,Actual
2020-07-31,2200.0,Actual
2020-08-31,2190.0,Actual
2020-09-30,2100.0,Actual
2020-10-31,2000.0,Actual
2020-11-30,1950.0,Actual
2020-12-31,1900.0,Actual
2021-01-31,1900.0,Actual
2021-02-28,1900.0,Actual
2021-03-31,1950.0,Actual
2021-04-30,1950.0,Actual
2021-05-31,1995.0,Actual
2021-06-30,2000.0,Actual
2021-07-31,2200.0,Actual
2021-08-31,2300.0,Actual
2021-09-30,2280.0,Actual
2021-10-31,2284.0,Actual
2021-11-30,2300.0,Actual
2021-12-31,2300.0,Actual
2022-01-31,2300.0,Actual
2022-02-28,2300.0,Actual
2022-03-31,2300.0,Actual
2022-04-30,2350.0,Actual
2022-05-31,2400.0,Actual
2022-06-30,2500.0,Actual
2022-07-31,2650.0,Actual
2022-08-31,2750.0,Actual
2022-09-30,2750.0,Actual
2022-10-31,2800.0,Actual
2022-11-30,2750.0,Actual
2022-12-31,2700.0,Actual
2023-01-31,2700.0,Actual
2023-02-28,2680.0,Actual
2023-03-31,2690.0,Actual
2023-04-30,2700.0,Actual
2023-05-31,2700.0,Actual
2023-06-30,2775.0,Actual
2023-07-31,2850.0,Actual
2023-08-31,2900.0,Actual
2023-09-30,2900.0,Actual
2023-10-31,2800.0,Actual
2023-11-30,2745.0,Actual
2023-12-31,2700.0,Actual
2024-01-31,2650.0,Actual
2024-02-29,2600.0,Actual
2024-03-31,2600.0,Actual
2024-04-30,2600.0,Actual
2024-05-31,2600.0,Actual
2024-06-30,2650.0,Actual
2024-07-31,2650.0,Actual
2024-08-31,2700.0,Actual
2024-09-30,2650.0,Actual
2024-10-31,2600.0,Actual
2024-11-30,2580.0,Actual
2024-12-31,2500.0,Actual
2025-01-31,2500.0,Actual
2025-02-28,2500.0,Actual
2025-03-31,2500.0,Actual
2025-04-30,2466.0,Forecast
2025-05-31,2486.0,Forecast
2025-06-30,2497.0,Forecast
